file_name,detections,mean_confidence,median_confidence,min_confidence,max_confidence,first_detection_seconds,last_detection_seconds,hydrophone,hydrophone_name_matches_metadata,recording_datetime,date,month,recording_path,recording_exists,duration_seconds,duration_from_audio_header,duration_hours,detections_per_hour
Exp_10_Sep_2024_1400_channel_0.wav,5756,0.7045452,0.69393945,0.50000304,0.9991505,0.0,3004.0,0,True,2024-09-10 14:00:00,2024-09-10,2024-09,/media/DOLPHIN1_robin/2024/Exp_10_Sep_2024_1400_channel_0.wav,True,3004.2708333333335,True,0.834519675925926,6897.3808120384165
Exp_17_Sep_2024_1900_channel_2.wav,5697,0.7383889,0.75051904,0.5002828,0.97282404,0.0,3004.4,2,True,2024-09-17 19:00:00,2024-09-17,2024-09,/media/DOLPHIN1_robin/2024/Exp_17_Sep_2024_1900_channel_2.wav,True,3004.4791666666665,True,0.8345775462962962,6826.208092084736
Exp_17_Sep_2024_1100_channel_0.wav,5630,0.70940465,0.70439154,0.5001801,0.9948143,0.0,3004.0,0,True,2024-09-17 11:00:00,2024-09-17,2024-09,/media/DOLPHIN1_robin/2024/Exp_17_Sep_2024_1100_channel_0.wav,True,3004.2708333333335,True,0.834519675925926,6746.395756041746
Exp_11_Sep_2024_1100_channel_2.wav,5470,0.69962966,0.6967695,0.5001417,0.99785835,0.0,3004.8,2,True,2024-09-11 11:00:00,2024-09-11,2024-09,/media/DOLPHIN1_robin/2024/Exp_11_Sep_2024_1100_channel_2.wav,True,3005.0,True,0.8347222222222223,6553.078202995008
Exp_18_Sep_2024_1600_channel_0.wav,5437,0.7401113,0.7467886,0.50008696,0.9999988,1.6,3004.8,0,True,2024-09-18 16:00:00,2024-09-18,2024-09,/media/DOLPHIN1_robin/2024/Exp_18_Sep_2024_1600_channel_0.wav,True,3005.0,True,0.8347222222222223,6513.544093178037
Exp_18_Sep_2024_1000_channel_0.wav,5392,0.69940025,0.6916847,0.50029033,0.99446267,0.0,3004.0,0,True,2024-09-18 10:00:00,2024-09-18,2024-09,/media/DOLPHIN1_robin/2024/Exp_18_Sep_2024_1000_channel_0.wav,True,3004.375,True,0.8345486111111111,6460.977740794674
Exp_10_Sep_2024_1100_channel_0.wav,5383,0.6919032,0.67645377,0.5000862,0.9811597,0.8,3004.0,0,True,2024-09-10 11:00:00,2024-09-10,2024-09,/media/DOLPHIN1_robin/2024/Exp_10_Sep_2024_1100_channel_0.wav,True,3004.375,True,0.8345486111111111,6450.193467859372
Exp_11_Sep_2024_0800_channel_2.wav,5357,0.7157196,0.7210565,0.5001336,1.0,0.0,3004.4,2,True,2024-09-11 08:00:00,2024-09-11,2024-09,/media/DOLPHIN1_robin/2024/Exp_11_Sep_2024_0800_channel_2.wav,True,3004.6875,True,0.8346354166666666,6418.371294851794
Exp_09_Sep_2024_0000_channel_1.wav,5339,0.71291506,0.7149802,0.5001132,0.97299993,0.0,3004.4,1,True,2024-09-09 00:00:00,2024-09-09,2024-09,/media/DOLPHIN1_robin/2024/Exp_09_Sep_2024_0000_channel_1.wav,True,3004.7916666666665,True,0.8346643518518518,6396.583235110587
Exp_11_Sep_2024_1000_channel_2.wav,5292,0.70799357,0.7065538,0.50012314,0.98814034,0.0,3003.6,2,True,2024-09-11 10:00:00,2024-09-11,2024-09,/media/DOLPHIN1_robin/2024/Exp_11_Sep_2024_1000_channel_2.wav,True,3004.7916666666665,True,0.8346643518518518,6340.273174790265
Exp_08_Sep_2024_0000_channel_1.wav,5291,0.7262457,0.7320684,0.5003798,0.9761489,0.4,3004.0,1,True,2024-09-08 00:00:00,2024-09-08,2024-09,/media/DOLPHIN1_robin/2024/Exp_08_Sep_2024_0000_channel_1.wav,True,3004.6875,True,0.8346354166666666,6339.294851794072
Exp_11_Sep_2024_1400_channel_2.wav,5287,0.6951996,0.6862154,0.5000089,1.0,0.0,3004.4,2,True,2024-09-11 14:00:00,2024-09-11,2024-09,/media/DOLPHIN1_robin/2024/Exp_11_Sep_2024_1400_channel_2.wav,True,3004.5833333333335,True,0.8346064814814815,6334.721952572459
Exp_06_Sep_2024_1800_channel_0.wav,5286,0.71740234,0.7258642,0.50009626,0.9829284,0.0,3004.4,0,True,2024-09-06 18:00:00,2024-09-06,2024-09,/media/DOLPHIN1_robin/2024/Exp_06_Sep_2024_1800_channel_0.wav,True,3004.4791666666665,True,0.8345775462962962,6333.743369275041
