date,hydrophone,total_detections,mean_detection_confidence,median_detection_confidence,recording_files,matched_recording_files,total_duration_seconds,mean_file_confidence,median_file_confidence,total_duration_hours,detections_per_hour
2024-08-14,2,1681,0.7375237,0.73080194,11,11,33050.729166666664,0.7326355,0.7286951,9.18075810185185,183.10034763479123
2024-08-15,0,4765,0.64405835,0.6222117,11,11,33050.3125,0.6542938,0.6449419,9.180642361111111,519.0268624540237
2024-08-15,1,4518,0.80367345,0.8392638,11,11,33050.3125,0.788059,0.7861508,9.180642361111111,492.12242698159054
2024-08-15,2,1910,0.73846847,0.740925,11,11,33050.3125,0.72377753,0.73079836,9.180642361111111,208.04644434148693
2024-08-16,0,5183,0.64343804,0.6226864,11,11,33049.375,0.61796427,0.61076653,9.180381944444445,564.57346016377
2024-08-16,1,2451,0.7927836,0.8270541,11,11,33049.375,0.7413233,0.7641161,9.180381944444445,266.98235594470395
2024-08-16,2,1001,0.713997,0.6975113,11,11,33049.375,0.7137188,0.69183546,9.180381944444445,109.03685773180278
2024-08-17,0,9392,0.64993227,0.6329428,11,11,33049.895833333336,0.61990035,0.6155129,9.18052662037037,1023.0349944370727
2024-08-17,1,1476,0.8042359,0.84882534,11,11,33049.895833333336,0.7756121,0.80450475,9.18052662037037,160.77509069304932
2024-08-17,2,686,0.73851454,0.72937644,11,11,33049.895833333336,0.7237583,0.70936435,9.18052662037037,74.72338225977767
2024-08-18,0,3697,0.59685105,0.5735342,11,11,33049.166666666664,0.62792045,0.61787826,9.180324074074074,402.70909503517487
2024-08-18,1,1522,0.8482772,0.8932079,11,11,33049.166666666664,0.7685837,0.83519155,9.180324074074074,165.7893542449381
2024-08-18,2,659,0.75213355,0.73842245,11,11,33049.166666666664,0.71139926,0.70966,9.180324074074074,71.78395824403036
2024-08-19,0,2807,0.56864107,0.54887146,11,11,33049.479166666664,0.5806381,0.5732382,9.18041087962963,305.7597352454495
2024-08-19,1,1766,0.8072305,0.8471409,11,11,33049.479166666664,0.78890073,0.81808025,9.18041087962963,192.36611772121975
2024-08-19,2,346,0.7485613,0.71688086,10,10,30045.208333333336,0.73684937,0.72238374,8.345891203703705,41.457525811797495
2024-08-20,0,1485,0.5909111,0.5574208,11,11,33049.270833333336,0.62499475,0.6150396,9.18035300925926,161.75848559442497
2024-08-20,1,2173,0.826602,0.8676688,11,11,33049.270833333336,0.80058295,0.80762076,9.18035300925926,236.7011375061855
2024-08-20,2,718,0.79591185,0.8105189,11,11,33049.270833333336,0.7650196,0.7600178,9.18035300925926,78.2105001055873
2024-08-21,0,1532,0.6343885,0.58671117,11,11,33048.854166666664,0.65456796,0.6529006,9.180237268518518,166.88021836359684
2024-08-21,1,4812,0.8209486,0.8620542,11,11,33048.854166666664,0.7744275,0.8023294,9.180237268518518,524.1694587243003
2024-08-21,2,1784,0.7405226,0.7264911,11,11,33048.854166666664,0.7183518,0.7277046,9.180237268518518,194.3304892693582
2024-08-22,0,2580,0.596304,0.56245816,11,11,33048.958333333336,0.6093615,0.6016399,9.180266203703704,281.0376020424244
2024-08-22,1,5665,0.82466763,0.8669966,11,11,33048.958333333336,0.7940142,0.7982926,9.180266203703704,617.0845021590443
2024-08-22,2,1503,0.7120999,0.6926223,11,11,33048.958333333336,0.7099444,0.71559894,9.180266203703704,163.7207425851798
2024-08-23,0,355,0.62887174,0.57536066,10,10,30044.166666666668,0.6752571,0.66844404,8.345601851851852,42.537375530469035
2024-08-23,1,2925,0.82534903,0.86932474,11,11,33048.541666666664,0.7952446,0.8093117,9.180150462962962,318.6222286661666
2024-08-23,2,578,0.77331144,0.7622465,11,11,33048.541666666664,0.7319334,0.69193846,9.180150462962962,62.96193099796386
2024-08-24,0,610,0.6391738,0.5640094,11,11,33049.166666666664,0.635592,0.6095146,9.180324074074074,66.44645603772157
2024-08-24,1,2480,0.82809013,0.86963797,11,11,33049.166666666664,0.8049629,0.8275698,9.180324074074074,270.14296880909757
2024-08-24,2,710,0.80767673,0.8574894,11,11,33049.166666666664,0.7734381,0.74446136,9.180324074074074,77.3393176832497
2024-08-25,0,1843,0.61735696,0.5839415,11,11,33050.625,0.6895624,0.64720565,9.180729166666667,200.7465819481477
2024-08-25,1,2287,0.84556204,0.88185066,11,11,33050.625,0.8233109,0.82421786,9.180729166666667,249.10875361661087
2024-08-25,2,887,0.7886028,0.80836165,11,11,33050.625,0.772727,0.80169284,9.180729166666667,96.6154195268622
2024-08-26,0,383,0.71565914,0.63945055,11,11,33051.25,0.6872183,0.70921373,9.180902777777778,41.71703036950191
2024-08-26,1,3014,0.84257716,0.881774,11,11,33051.25,0.8129392,0.8401098,9.180902777777778,328.2901554404145
2024-08-26,2,600,0.85624033,0.9304124,11,11,33051.25,0.812598,0.85274327,9.180902777777778,65.35305018720926
2024-08-27,0,704,0.6285189,0.58101726,11,11,33049.583333333336,0.63344693,0.6233412,9.180439814814816,76.68477918279352
2024-08-27,1,2376,0.8313693,0.8755926,11,11,33049.583333333336,0.80381066,0.8280862,9.180439814814816,258.81112974192814
2024-08-27,2,818,0.828957,0.8806647,11,11,33049.583333333336,0.805365,0.86165535,9.180439814814816,89.10248490273452
2024-08-28,0,649,0.61981344,0.5694802,11,11,33049.270833333336,0.66395444,0.60270965,9.18035300925926,70.69444925978573
2024-08-28,1,3183,0.8373878,0.8787067,11,11,33049.270833333336,0.809745,0.8323976,9.18035300925926,346.71869336502
2024-08-28,2,572,0.845016,0.90896094,11,11,33049.270833333336,0.7921388,0.81876683,9.18035300925926,62.306972228963694
2024-08-29,0,950,0.58220273,0.551036,10,10,30045.0,0.5854488,0.5781468,8.345833333333333,113.82925611582627
2024-08-29,1,3040,0.8290149,0.8654715,11,11,33049.375,0.81835437,0.82251894,9.180381944444445,331.1409065980824
2024-08-29,2,700,0.81422126,0.85520184,11,11,33049.375,0.77614,0.81270033,9.180381944444445,76.24955086140055
2024-08-30,0,534,0.63124603,0.57593954,11,11,33048.541666666664,0.6466009,0.6218111,9.180150462962962,58.16898123341298
2024-08-30,1,2305,0.8173711,0.86162496,11,11,33048.541666666664,0.76340777,0.72563,9.180150462962962,251.08520925658598
2024-08-30,2,581,0.7980863,0.84142625,11,11,33048.541666666664,0.72866154,0.7378319,9.180150462962962,63.28872302736506
2024-08-31,0,1171,0.60606205,0.56862086,11,11,33048.541666666664,0.61069876,0.5988158,9.180150462962962,127.55782214293372
2024-08-31,1,2281,0.83066577,0.88263655,11,11,33048.541666666664,0.7964903,0.8243357,9.180150462962962,248.47087302137643
2024-08-31,2,883,0.8077761,0.8529694,11,11,33048.541666666664,0.7568001,0.77507174,9.180150462962962,96.18578732041884
