hydrophone,months_present,total_detections,total_duration_seconds,total_duration_hours,detections_per_hour,first_recording_datetime
0,6,723730,3798698.1306041665,1055.193925167824,685.8739258614419,2024-07-26 16:00:00
1,6,749057,4672398.0264375005,1297.8883406770835,577.1351637300565,2024-07-25 12:00:00
2,6,425418,3586634.701270833,996.2874170196759,427.00328512891207,2024-07-26 14:00:00
